ID (User Story),Feature (Tính năng),Giao thức,Endpoint (Phương thức & Đường dẫn),Đầu vào (Input),Đầu ra (Output),Ghi chú
SS-001,Đăng nhập tài khoản người bán,HTTPS,POST /seller/auth/login,"Body:
{
  ""email"": ""string"",
  ""password"": ""string""
}","{
  ""success"": true,
  ""user"": {
    ""id"": ""string"",
    ""email"": ""string"",
    ""name"": ""string"",
    ""role"": ""seller""
  },
  ""token"": ""string""
}",Xác thực người bán
,Đăng xuất tài khoản,HTTPS,POST /seller/auth/logout,"Auth: Bearer Token

Body: {}","{
  ""success"": true
}",
,Lấy thông tin người dùng hiện tại,HTTPS,GET /seller/profile,"Auth: Bearer Token","{
  ""id"": ""string"",
  ""email"": ""string"",
  ""name"": ""string"",
  ""role"": ""seller""
}",Đổi endpoint theo US-102
SS-002,Cập nhật thông tin gian hàng,HTTPS,PUT /seller/profile,"Auth: Bearer Token

Body: (Partial Profile)
{
  ""name"": ""string"" (optional),
  ""phone"": ""string"" (optional),
  ""address"": ""string"" (optional)
}","{
  ""success"": true,
  ""profile"": {...}
}",US-102 - Cập nhật thông tin
SS-003,Xem báo cáo doanh thu tổng quan,HTTPS,GET /seller/reports/summary,"Auth: Bearer Token

Query Params:
- period (string): ""today"" | ""week"" | ""month"" | ""year""","{
  ""revenue"": ""number"",
  ""totalOrders"": ""number"",
  ""successfulOrders"": ""number"",
  ""cancelledOrders"": ""number"",
  ""period"": ""string""
}",Thống kê doanh thu và đơn hàng
,Xem danh sách sản phẩm bán chạy,HTTPS,GET /seller/dashboard/top-products,"Auth: Bearer Token

Query Params:
- limit (number): Số lượng sản phẩm trả về (mặc định: 5)","{
  ""data"": [
    {
      ""id"": ""string"",
      ""name"": ""string"",
      ""sales"": ""number"",
      ""revenue"": ""number"",
      ""imageUrl"": ""string""
    }
  ]
}",Top sản phẩm theo doanh số
SS-004,Xem đơn hàng chờ xác nhận,HTTPS,GET /seller/orders/pending,"Auth: Bearer Token

Query Params:
- status (string): ""pending"" | ""processing"" | ""completed"" | ""cancelled""
- page (number)
- limit (number)
- startDate (string ISO 8601)
- endDate (string ISO 8601)","{
  ""data"": [
    {
      ""id"": ""string"",
      ""customerName"": ""string"",
      ""items"": ""number"",
      ""total"": ""number"",
      ""status"": ""string"",
      ""createdAt"": ""string (ISO 8601)"",
      ""updatedAt"": ""string (ISO 8601)""
    }
  ],
  ""pagination"": {
    ""currentPage"": ""number"",
    ""limit"": ""number"",
    ""totalPages"": ""number"",
    ""totalItems"": ""number""
  }
}",Quản lý đơn hàng
,Xem chi tiết một đơn hàng,HTTPS,GET /seller/orders/{id},"Auth: Bearer Token

Path: id (string)","{
  ""id"": ""string"",
  ""customerName"": ""string"",
  ""customerPhone"": ""string"",
  ""customerAddress"": ""string"",
  ""items"": [
    {
      ""productId"": ""string"",
      ""productName"": ""string"",
      ""quantity"": ""number"",
      ""price"": ""number"",
      ""subtotal"": ""number""
    }
  ],
  ""subtotal"": ""number"",
  ""shippingFee"": ""number"",
  ""total"": ""number"",
  ""status"": ""string"",
  ""createdAt"": ""string (ISO 8601)"",
  ""updatedAt"": ""string (ISO 8601)"",
  ""notes"": ""string""
}",Chi tiết đơn hàng
,Cập nhật trạng thái đơn hàng,HTTPS,PATCH /seller/orders/{id}/status,"Auth: Bearer Token

Path: id (string)

Body:
{
  ""status"": ""pending"" | ""processing"" | ""completed"" | ""cancelled"",
  ""notes"": ""string"" (optional)
}","{
  ""success"": true,
  ""order"": {
    ""id"": ""string"",
    ""status"": ""string"",
    ""updatedAt"": ""string (ISO 8601)""
  }
}",Cập nhật trạng thái đơn
,Hủy đơn hàng,HTTPS,POST /seller/orders/{id}/cancel,"Auth: Bearer Token

Path: id (string)

Body:
{
  ""reason"": ""string""
}","{
  ""success"": true,
  ""order"": {
    ""id"": ""string"",
    ""status"": ""cancelled"",
    ""cancelReason"": ""string"",
    ""updatedAt"": ""string (ISO 8601)""
  }
}",Hủy đơn hàng với lý do
,Xác nhận đơn hàng,HTTPS,PUT /seller/orders/{id}/accept,"Auth: Bearer Token

Path: id (string)

Body:
{
  ""estimatedDeliveryTime"": ""string"" (optional)
}","{
  ""success"": true,
  ""order"": {
    ""id"": ""string"",
    ""status"": ""accepted"",
    ""acceptedAt"": ""string (ISO 8601)""
  }
}",US-105 - Xác nhận đơn
,Từ chối đơn hàng,HTTPS,PUT /seller/orders/{id}/reject,"Auth: Bearer Token

Path: id (string)

Body:
{
  ""reason"": ""string""
}","{
  ""success"": true,
  ""order"": {
    ""id"": ""string"",
    ""status"": ""rejected"",
    ""rejectionReason"": ""string"",
    ""rejectedAt"": ""string (ISO 8601)""
  }
}",US-105 - Từ chối đơn
SS-005,Xem danh sách sản phẩm của cửa hàng,HTTPS,GET /seller/products,"Auth: Bearer Token

Query Params:
- category (string)
- search (string)
- page (number)
- limit (number)
- sortBy (string): ""name"" | ""price"" | ""stock""
- sortOrder (string): ""asc"" | ""desc""","{
  ""data"": [
    {
      ""id"": ""string"",
      ""name"": ""string"",
      ""description"": ""string"",
      ""price"": ""number"",
      ""stock"": ""number"",
      ""category"": ""string"",
      ""imageUrl"": ""string"",
      ""unit"": ""string"",
      ""isActive"": ""boolean"",
      ""createdAt"": ""string (ISO 8601)"",
      ""updatedAt"": ""string (ISO 8601)""
    }
  ],
  ""pagination"": {
    ""currentPage"": ""number"",
    ""limit"": ""number"",
    ""totalPages"": ""number"",
    ""totalItems"": ""number""
  }
}",Quản lý sản phẩm
