US,API,Mô tả,Method
US-101 Đăng ký & xác minh cửa hàng,/seller/register,Tạo hồ sơ cửa hàng,POST
,/seller/verification,Gửi giấy tờ xác minh,POST
US-102 Cập nhật thông tin gian hàng,/seller/profile,Lấy/cập nhật thông tin cửa hàng,GET / PUT
US-103 Quản lý sản phẩm,/seller/products,Danh sách sản phẩm,GET
,/seller/products,Tạo sản phẩm mới,POST
,/seller/products/{id},Sửa sản phẩm,PUT
,/seller/products/{id},Xóa sản phẩm,DELETE
US-104 Tồn kho,/seller/inventory,Cập nhật tồn kho,PUT
,/seller/inventory,Lấy danh sách tồn kho,GET
US-105 Tiếp nhận đơn hàng,/seller/orders/pending,Lấy đơn hàng chờ xác nhận,GET
,/seller/orders/{id}/accept,Xác nhận đơn hàng,PUT
,/seller/orders/{id}/reject,Từ chối đơn hàng,PUT
US-106 Trạng thái giao hàng,/seller/orders/{id}/status,Cập nhật trạng thái xử lý,PUT
US-107 Báo cáo doanh thu,/seller/reports/summary,"Báo cáo doanh thu, đơn hàng",GET
US-108 Phản hồi đánh giá,/seller/reviews/{id}/reply,Trả lời đánh giá của khách,POST
