#	Use Case	Actor	Mô tả	Luồng chính	Luồng mở rộng / ngoại lệ
UC-S01	Đăng ký / xác minh người bán	Người bán	Người bán đăng ký tài khoản bán hàng	Nhập thông tin cửa hàng, giấy phép, địa chỉ → gửi lên xét duyệt	Nếu thiếu giấy phép → yêu cầu bổ sung; nếu bị từ chối → thông báo, cho phép chỉnh sửa và gửi lại
UC-S02	Tạo & quản lý gian hàng	Người bán	Thiết lập thông tin gian hàng (logo, tên, địa chỉ, vùng giao hàng)	Người bán điền thông tin → lưu → bật/tắt gian hàng	Nếu vùng giao hàng không hợp lệ → báo lỗi; nếu gian hàng bị vi phạm → vô hiệu hóa
UC-S03	Quản lý sản phẩm	Người bán	Thêm / sửa / xoá sản phẩm	Tại trang quản lý sản phẩm → nhập tên, mô tả, giá, ảnh, tồn kho, thông tin dinh dưỡng	Nếu ảnh không đạt yêu cầu → yêu cầu upload lần nữa; nếu mô tả vi phạm → từ chối
UC-S04	Quản lý khuyến mãi / combo	Người bán	Tạo mã giảm giá, combo suất ăn	Chọn sản phẩm tham gia, thiết lập điều kiện, thời hạn	Nếu mã giảm quá cao → cảnh báo; nếu có xung đột giữa các mã → xử lý ưu tiên
UC-S05	Nhận & xác nhận đơn hàng	Người bán	Xem và xác nhận đơn mới từ người mua	Nhận thông báo → xem chi tiết → xác nhận nhận đơn	Nếu giờ đóng cửa → từ chối đơn; nếu sản phẩm không có → từ chối hoặc đề xuất thay thế
UC-S06	Xử lý đơn hàng / đóng gói	Người bán	Chuẩn bị sản phẩm để giao, đóng gói	Đánh dấu sản phẩm sẵn sàng, chờ đơn vị giao hàng tới lấy	Nếu có thiếu món → báo người mua, đề xuất đổi / hủy
UC-S07	Giao hàng / cập nhật trạng thái	Người bán hoặc đối tác giao hàng	Cập nhật trạng thái khi giao hàng	Khi đơn giao đi, cập nhật trạng thái “đang giao”, “giao thành công”	Nếu giao thất bại → cập nhật “giao lỗi”, ghi lý do; nếu giao trễ → cảnh báo
UC-S08	Xử lý hoàn trả / đổi / khiếu nại	Người bán	Nhận yêu cầu từ người mua → xử lý	Kiểm tra ảnh / mô tả, xác nhận đổi trả / hoàn tiền	Nếu từ chối → trả về lý do; nếu chấp nhận → thực hiện hoàn tiền / đổi hàng
UC-S09	Trả lời phản hồi / chat với người mua	Người bán	Giao tiếp với người mua qua comment / chat	Nhận tin nhắn → trả lời trong app	Nếu không trả lời kịp → hệ thống gửi nhắc; nếu spam / nội dung xấu → nhân viên admin kiểm duyệt
UC-S10	Xem báo cáo & thống kê	Người bán	Xem doanh thu, lợi nhuận, top sản phẩm	Chọn khoảng thời gian → hệ thống hiển thị biểu đồ / bảng số liệu	Nếu dữ liệu chưa cập nhật → thông báo trạng thái cập nhật; nếu dữ liệu lạ → cảnh báo
UC-S11	Quản lý vùng phục vụ & phí vận chuyển	Người bán	Cấu hình vùng giao hàng & phí theo vùng	Chọn vùng / khoảng cách tối đa với phí tương ứng	Nếu vùng không phủ tới địa điểm người mua → đơn bị từ chối
UC-S12	Nhập giá vốn / chi phí	Người bán	Nhập giá vốn / chi phí giao hàng để tính lợi nhuận	Trong trang quản lý sản phẩm → nhập giá vốn	Nếu không nhập → hệ thống ẩn tính toán lợi nhuận hoặc dùng giá bán trừ ước tính phí
